품목,구분,롯데백화점,현대백화점,뉴코아,세이브존,홈플러스(상동),이마트(부천역점),풍년마트,자유시장,상동시장,중동시장,원미종합,원미부흥,역곡남부,역곡상상,원종종합,원종중앙,소사종합,부천제일,고강시장(고리울동굴),한신시장,강남시장,오정시장,신흥시장
사과,"부사, 300g, 1개",6410,3000,2198,2900,4997,3670,6000,5000,5000,5000,5000,4000,2500,2000,3000,4000,4000,4000,4000,3500,4000,3500,5000
배,"신고, 600g 1개",9080,14000,6200,2700,4990,8100,6600,6000,6000,5000,7000,6000,4200,4000,5000,6000,6500,6000,7000,5500,5000,4500,10000
배추,2kg(중간크기) 1포기,0,0,5990,3680,3990,1980,4980,4000,3500,3500,3000,7000,6000,5000,5000,5000,3300,5000,5000,6500,5000,6000,7000
무,1kg(잎없는것) 1개,3340,5300,2290,1690,2990,2144,1980,3000,2000,2000,2000,2000,4000,2000,2000,3000,1980,3500,2000,2000,4500,3000,4000
양파,작은망(까지않은것 1.5kg) 1망,6600,6500,4990,5980,4403,3570,3980,2500,3500,1500,3000,3500,4000,2500,2500,3000,2900,3000,3000,3500,1500,3000,4000
상추,적상추 100g,1660,3300,733,1480,1327,495,1000,1200,500,500,750,1500,1500,1000,1000,1000,2000,500,1000,800,5000,1000,1000
오이,다다기오이 1개,1490,1100,800,700,998,1000,500,700,700,400,750,1300,500,600,700,500,500,500,700,800,600,500,1000
호박,"애호박(중,400g+C2+D12",2980,1500,1300,1580,1290,1130,990,1500,1000,500,1500,2000,1000,1000,1000,1500,1000,1500,1500,1500,500,1000,2000
쌀,"경기미, 20kg",119600,88000,59980,55800,52900,54900,67800,65000,70000,88000,68000,68000,63500,73500,67000,65000,58000,69800,75000,60000,1000,58000,65000
콩,"검은콩, 1kg",27000,48100,15990,17960,11100,17800,18960,17600,13000,14000,16000,16500,19000,12000,18600,15500,16000,14000,20000,11000,11000,15000,15000
감자,"국내산, 1kg",6900,5000,6660,4480,4660,5980,4500,3500,4000,3000,3000,3500,6500,3000,3000,4000,3000,3500,4000,3000,4500,3980,4000
고춧가루,"국내산, 100g",9800,6390,3599,2460,3980,4900,3180,4000,5050,3750,4500,4000,4400,3800,4000,4500,4000,4500,4900,4500,36000,5100,3500
쇠고기,한우불고기(1등급) 600g,0,37800,23940,22800,25560,23690,21900,22800,23000,27000,25000,25800,31200,24000,23000,24000,21000,19800,27000,25000,21000,27000,22000
돼지고기,생삼겹살 600g,38400,45540,15540,14900,24675,16296,16800,14800,14900,15000,18000,15800,13800,13900,15800,15800,13800,15600,15800,14800,16800,15000,16800
닭고기,유계 1마리(1kg),13800,13490,6990,7800,7990,9980,7200,6000,7000,7000,7000,8500,8000,7000,7000,8000,6800,7900,8000,7000,8900,8500,8000
달걀,10개입,9900,11000,7990,7760,7990,7980,6980,8000,8000,8400,7500,8500,7600,7000,7500,7500,8000,7500,7500,7500,8000,8000,8000
갈치,"국내산, 중(中)1마리(해동)",17000,39000,8250,5500,7500,10800,7500,7000,10000,7500,6000,11000,13000,20000,10000,15000,15000,15000,10000,9000,15000,10000,15000
동태,"수입산,(600g)1마리(냉동)",5500,7800,7990,2990,3900,3770,3500,3000,3000,3000,4000,3500,3800,4000,4000,4000,3500,4000,5000,4000,3000,3000,3500
오징어,오징어(생물30Cm)1마리,11800,4000,3300,4500,4350,6200,5000,7000,5000,6500,5000,0,6000,0,5000,7000,4000,7000,7000,5000,5000,6000,6000
고등어,"자반고등어 30cm,1손(2마리)",11800,13000,10990,4980,7000,5980,9500,12000,8000,7000,6000,6500,10000,8000,8000,8000,10000,7000,7000,8000,7000,7000,6000
